,ntimes
expt_10,20555
expt_10_hd,17827
expt_11,33836
expt_11_hd,13802
expt_12,29825
expt_12_hd,16214
expt_13,36960
expt_13_hd,16373
expt_14,25616
expt_14_hd,21554
expt_15,30790
expt_15_hd,17580
expt_16,47671
expt_16_hd,13884
expt_17,30879
expt_17_hd,25562
expt_18_hd,29019
expt_19_hd,21988
expt_2,31303
expt_20_hd,28633
expt_21_hd,25604
expt_23_hd,18089
expt_26_hd,25103
expt_27_hd,44252
expt_28_hd,22403
expt_29_hd,23516
expt_30_hd,17307
expt_31_hd,13024
expt_32_hd,16356
expt_33_hd,19271
expt_34,29539
expt_34_hd,17367
expt_34_old,-1
expt_35_hd,19506
expt_36_hd,32824
expt_37_hd,22470
expt_38_hd,17640
expt_39,61685
expt_39_hd,16925
expt_3_hd,40623
expt_4,21026
expt_40_hd,21017
expt_41,38828
expt_41_hd,16957
expt_42_hd,20900
expt_43,54717
expt_43_hd,21785
expt_44_hd,25806
expt_45,30838
expt_45_hd,15920
expt_46_hd,15542
expt_47_hd,15149
expt_48,39026
expt_48_hd,19202
expt_49_hd,13613
expt_50_hd,20727
expt_51_hd,28670
expt_52_hd,23615
expt_53_hd,29063
expt_63_hd,20537
expt_7,39005
expt_7_hd,23595
expt_8,24489
expt_9,25946
expt_9_hd,17942
