,expt_id,first_gain,second_gain,n_laps_total,n_laps_other_gain,n_times_total,n_times_other_gain,ncells,ntimes (timestep = 100000),ntimes (timestep = 1000000)
0,expt10,0.846000000834465,1.0,84.0,62.0,208236,158833,15,20555,2055
1,expt10_hd,1.0,1.153999999165535,94.0,26.0,178311,46630,30,17827,1782
2,expt11,1.460999995470047,1.0,100.0,61.0,341121,221792,11,33836,3383
3,expt11_hd,1.0,0.846000000834465,86.0,26.0,138026,39610,25,13802,1380
4,expt12,0.231000006198883,1.0,131.0,77.0,302405,168497,11,29825,2982
5,expt12_hd,1.0,1.462000012397766,96.0,26.0,163342,48017,27,16214,1621
6,expt13,1.768999993801117,1.0,173.0,119.0,370149,257362,11,36960,3696
7,expt13_hd,1.0,0.5379999876022339,108.0,26.0,162637,42587,27,16373,1637
8,expt14,0.539000004529953,1.0,118.0,80.0,256521,176966,13,25616,2561
9,expt14_hd,1.0,0.231000006198883,127.0,26.0,215665,41876,38,21554,2155
10,expt15,0.1000000238418579,1.0,163.0,113.0,308105,214206,11,30790,3079
11,expt15_hd,1.0,1.768999993801117,111.0,26.0,175820,41773,32,17580,1758
12,expt16,0.1000000238418579,1.0,153.0,34.0,450280,137628,11,47671,4767
13,expt16_hd,1.0,1.153999999165535,80.0,26.0,138860,45729,26,13884,1388
14,expt17,1.0,,137.0,0.0,301274,0,11,30879,3087
15,expt17_hd,1.0,1.0676935389637947,130.0,91.0,255778,1557,38,25562,2556
16,expt18_hd,1.0,0.3749696016311645,181.0,2.0,291804,170,36,29019,2901
17,expt19_hd,1.0,0.6339438259601593,107.0,2.0,221784,2203,30,21988,2198
18,expt2,1.0,,131.0,0.0,315962,0,11,31303,3130
19,expt20_hd,1.0,1.066180057823658,163.0,58.0,286332,119,29,28633,2863
20,expt21_hd,1.0,1.533830463886261,133.0,39.0,256113,1486,34,25604,2560
21,expt23_hd,1.0,0.846000000834465,83.0,26.0,181074,54525,19,18089,1808
22,expt26_hd,0.5379999876022339,1.0,88.0,26.0,252757,104730,21,25103,2510
23,expt27_hd,1.0,1.768999993801117,113.0,26.0,443428,93838,18,44252,4425
24,expt28_hd,1.0,0.231000006198883,117.0,26.0,225859,50742,21,22403,2240
25,expt29_hd,1.0,1.768999993801117,125.0,26.0,235361,53521,21,23516,2351
26,expt30_hd,1.0,1.462000012397766,110.0,26.0,173348,40719,21,17307,1730
27,expt31_hd,1.0,0.1000276803970336,80.0,18.0,130279,182,24,13024,1302
28,expt32_hd,1.0,0.926094889640808,94.0,40.0,163619,102,25,16356,1635
29,expt33_hd,1.0,1.3993013203144071,121.0,16.0,193341,32,16,19271,1927
30,expt34,1.0,,48.0,0.0,296299,0,40,29539,2953
31,expt34_hd,1.0,0.1000186204910278,121.0,33.0,173698,374,19,17367,1736
32,expt35_hd,1.0,3.9999842643737793,132.0,14.0,195223,640,17,19506,1950
33,expt36_hd,1.0,2.01207172870636,162.0,5.0,328266,3237,19,32824,3282
34,expt37_hd,1.0,0.945627648383379,162.0,19.0,224709,32,20,22470,2247
35,expt38_hd,1.0,,93.0,0.0,176541,0,46,17640,1764
36,expt39,0.231000006198883,1.0,63.0,37.0,617873,538444,13,61685,6168
37,expt39_hd,1.0,1.153999999165535,101.0,26.0,171666,42053,48,16925,1692
38,expt3_hd,1.0,0.846000000834465,84.0,26.0,397609,151550,16,40623,4062
39,expt4,0.539000004529953,1.0,93.0,55.0,211836,139489,15,21026,2102
40,expt40_hd,1.0,0.846000000834465,85.0,26.0,210169,72171,50,21017,2101
41,expt41,1.768999993801117,1.0,72.0,46.0,388330,294103,12,38828,3882
42,expt41_hd,1.0,1.462000012397766,100.0,26.0,169635,38997,45,16957,1695
43,expt42_hd,1.0,0.5379999876022339,120.0,26.0,209638,44580,44,20900,2090
44,expt43,1.153999999165535,1.0,63.0,54.0,554195,475920,12,54717,5471
45,expt43_hd,1.0,0.231000006198883,127.0,26.0,218036,39985,55,21785,2178
46,expt44_hd,1.0,1.768999993801117,127.0,26.0,258154,68246,58,25806,2580
47,expt45,0.231000006198883,1.0,73.0,47.0,309823,243954,12,30838,3083
48,expt45_hd,1.0,0.8595345067229333,96.0,9.0,159892,15,67,15920,1592
49,expt46_hd,1.0,1.307800018747073,91.0,1.0,155774,17,50,15542,1554
50,expt47_hd,1.0,0.5046945942364641,101.0,1.0,151697,16,56,15149,1514
51,expt48,0.231000006198883,1.0,72.0,46.0,399161,292675,11,39026,3902
52,expt48_hd,1.0,3.08308219909668,122.0,0.0,192571,30,52,19202,1920
53,expt49_hd,1.0,0.8359066992998123,99.0,0.0,136809,23,58,13613,1361
54,expt50_hd,1.0,0.1001325249671936,122.0,6.0,207956,308,43,20727,2072
55,expt51_hd,1.0,1.2270653247833252,121.0,32.0,287423,119,46,28670,2867
56,expt52_hd,1.0,0.3977665336893353,122.0,1.0,236683,20,51,23615,2361
57,expt53_hd,1.0,1.5283629298210144,127.0,8.0,290719,106,57,29063,2906
58,expt63_hd,1.0,1.2625382840633392,125.0,56.0,205487,21,19,20537,2053
59,expt7,0.231000006198883,1.0,147.0,93.0,391228,257916,12,39005,3900
60,expt7_hd,1.0,1.462000012397766,95.0,26.0,232760,46761,31,23595,2359
61,expt8,1.768999993801117,1.0,141.0,87.0,246866,155299,12,24489,2448
62,expt9,1.153999999165535,1.0,74.0,51.0,259599,198060,20,25946,2594
63,expt9_hd,1.0,,91.0,0.0,179492,0,28,17942,1794
