,ntimes (timestep = 100000)
expt10,20555
expt10_hd,17827
expt11,33836
expt11_hd,13802
expt12,29825
expt12_hd,16214
expt13,36960
expt13_hd,16373
expt14,25616
expt14_hd,21554
expt15,30790
expt15_hd,17580
expt16,47671
expt16_hd,13884
expt17,30879
expt17_hd,25562
expt18_hd,29019
expt19_hd,21988
expt2,31303
expt20_hd,28633
expt21_hd,25604
expt23_hd,18089
expt26_hd,25103
expt27_hd,44252
expt28_hd,22403
expt29_hd,23516
expt30_hd,17307
expt31_hd,13024
expt32_hd,16356
expt33_hd,19271
expt34,29539
expt34_hd,17367
expt35_hd,19506
expt36_hd,32824
expt37_hd,22470
expt38_hd,17640
expt39,61685
expt39_hd,16925
expt3_hd,40623
expt4,21026
expt40_hd,21017
expt41,38828
expt41_hd,16957
expt42_hd,20900
expt43,54717
expt43_hd,21785
expt44_hd,25806
expt45,30838
expt45_hd,15920
expt46_hd,15542
expt47_hd,15149
expt48,39026
expt48_hd,19202
expt49_hd,13613
expt50_hd,20727
expt51_hd,28670
expt52_hd,23615
expt53_hd,29063
expt63_hd,20537
expt7,39005
expt7_hd,23595
expt8,24489
expt9,25946
expt9_hd,17942
