,ncells
expt10,15
expt10_hd,30
expt11,11
expt11_hd,25
expt12,11
expt12_hd,27
expt13,11
expt13_hd,27
expt14,13
expt14_hd,38
expt15,11
expt15_hd,32
expt16,11
expt16_hd,26
expt17,11
expt17_hd,38
expt18_hd,36
expt19_hd,30
expt2,11
expt20_hd,29
expt21_hd,34
expt23_hd,19
expt26_hd,21
expt27_hd,18
expt28_hd,21
expt29_hd,21
expt30_hd,21
expt31_hd,24
expt32_hd,25
expt33_hd,16
expt34,40
expt34_hd,19
expt35_hd,17
expt36_hd,19
expt37_hd,20
expt38_hd,46
expt39,13
expt39_hd,48
expt3_hd,16
expt4,15
expt40_hd,50
expt41,12
expt41_hd,45
expt42_hd,44
expt43,12
expt43_hd,55
expt44_hd,58
expt45,12
expt45_hd,67
expt46_hd,50
expt47_hd,56
expt48,11
expt48_hd,52
expt49_hd,58
expt50_hd,43
expt51_hd,46
expt52_hd,51
expt53_hd,57
expt63_hd,19
expt7,12
expt7_hd,31
expt8,12
expt9,20
expt9_hd,28
